path,spoken_language,signed_language,start,end,words,glosses,priority
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Clock.mp4,en,ins,0,0,Clock,CLOCK,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Cold.mp4,en,ins,0,0,Cold,COLD,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Cop.mp4,en,ins,0,0,Cop,COP,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Correct.mp4,en,ins,0,0,Correct,CORRECT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Cost.mp4,en,ins,0,0,Cost,COST,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Cricket.mp4,en,ins,0,0,Cricket,CRICKET,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Curd.mp4,en,ins,0,0,Curd,CURD,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Cure.mp4,en,ins,0,0,Cure,CURE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Cycle.mp4,en,ins,0,0,Cycle,CYCLE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Dandruff.mp4,en,ins,0,0,Dandruff,DANDRUFF,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Dark.mp4,en,ins,0,0,Dark,DARK,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Dates.mp4,en,ins,0,0,Dates,DATES,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Daughter.mp4,en,ins,0,0,Daughter,DAUGHTER,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Deceive.mp4,en,ins,0,0,Deceive,DECEIVE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Decide.mp4,en,ins,0,0,Decide,DECIDE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Different.mp4,en,ins,0,0,Different,DIFFERENT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Dinner.mp4,en,ins,0,0,Dinner,DINNER,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Discount.mp4,en,ins,0,0,Discount,DISCOUNT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Divorce.mp4,en,ins,0,0,Divorce,DIVORCE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Do.mp4,en,ins,0,0,Do,DO,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Doctor.mp4,en,ins,0,0,Doctor,DOCTOR,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Document.mp4,en,ins,0,0,Document,DOCUMENT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Dont.mp4,en,ins,0,0,Dont,DONT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Drink.mp4,en,ins,0,0,Drink,DRINK,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Drive.mp4,en,ins,0,0,Drive,DRIVE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Driver.mp4,en,ins,0,0,Driver,DRIVER,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Each.mp4,en,ins,0,0,Each,EACH,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Earthquake.mp4,en,ins,0,0,Earthquake,EARTHQUAKE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Edit.mp4,en,ins,0,0,Edit,EDIT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Election.mp4,en,ins,0,0,Election,ELECTION,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Email.mp4,en,ins,0,0,Email,EMAIL,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Embarrass.mp4,en,ins,0,0,Embarrass,EMBARRASS,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Encourage.mp4,en,ins,0,0,Encourage,ENCOURAGE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Engagement.mp4,en,ins,0,0,Engagement,ENGAGEMENT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Enjoy.mp4,en,ins,0,0,Enjoy,ENJOY,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Enough.mp4,en,ins,0,0,Enough,ENOUGH,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Equal.mp4,en,ins,0,0,Equal,EQUAL,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Escalator.mp4,en,ins,0,0,Escalator,ESCALATOR,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Escape.mp4,en,ins,0,0,Escape,ESCAPE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Everything.mp4,en,ins,0,0,Everything,EVERYTHING,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Exam.mp4,en,ins,0,0,Exam,EXAM,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Excited.mp4,en,ins,0,0,Excited,EXCITED,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Excuse_Me.mp4,en,ins,0,0,Excuse Me,EXCUSE_ME,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Exercise.mp4,en,ins,0,0,Exercise,EXERCISE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Expensive.mp4,en,ins,0,0,Expensive,EXPENSIVE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Experience.mp4,en,ins,0,0,Experience,EXPERIENCE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Expiry.mp4,en,ins,0,0,Expiry,EXPIRY,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Facewash.mp4,en,ins,0,0,Facewash,FACEWASH,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Fact.mp4,en,ins,0,0,Fact,FACT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Fail_Unsuccessful.mp4,en,ins,0,0,Fail,FAIL,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Faith.mp4,en,ins,0,0,Faith,FAITH,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Fake.mp4,en,ins,0,0,Fake,FAKE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Fall.mp4,en,ins,0,0,Fall,FALL,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/False.mp4,en,ins,0,0,FALSE,FALSE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Family.mp4,en,ins,0,0,Family,FAMILY,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Fan.mp4,en,ins,0,0,Fan,FAN,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Far.mp4,en,ins,0,0,Far,FAR,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Farm.mp4,en,ins,0,0,Farm,FARM,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Farmer.mp4,en,ins,0,0,Farmer,FARMER,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Fat.mp4,en,ins,0,0,Fat,FAT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Fear.mp4,en,ins,0,0,Fear,FEAR,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Fever.mp4,en,ins,0,0,Fever,FEVER,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Few.mp4,en,ins,0,0,Few,FEW,0
